source,target,weight,int
ADIRA-ACC-01,SEP0057D2D0E4EC,1,Fas 0/20
ADIRA-ACC-01,SEP08CCA7F7FA9F,1,Fas 0/13
ADIRA-ACC-01,SEP0057D2D0E442,1,Fas 0/9
ADIRA-ACC-01,SEP0057D2D0E499,1,Fas 0/23
ADIRA-ACC-01,SEP08CCA7F7F4AF,1,Fas 0/19
ADIRA-ACC-01,SEP0057D2D0E4C4,1,Fas 0/8
ADIRA-ACC-01,SEP007686ECDE49,1,Fas 0/12
ADIRA-ACC-01,SEP0057D2D0E52A,1,Fas 0/21
ADIRA-ACC-01,SEP0057D2D0E4B3,1,Fas 0/14
ADIRA-ACC-01,SEP0057D2D0E55E,1,Fas 0/11
ADIRA-ACC-01,ADIRA-CORE,1,Gig 0/2
ADIRA-ACC-01,ADIRA-CORE,1,Gig 0/1
ADIRA-ACC-01,SEP0057D2D0E48C,1,Fas 0/22
ADIRA-ACC-02,SEP0057D2D0E4BE,1,Fas 0/5
ADIRA-ACC-02,SEP0057D2D0E4BD,1,Fas 0/4
ADIRA-ACC-02,SEP0057D2D0E3DE,1,Fas 0/17
ADIRA-ACC-02,SEP0057D2D0E4AD,1,Fas 0/7
ADIRA-ACC-02,SEP0057D2D0E420,1,Fas 0/18
ADIRA-ACC-02,SEP0057D2D0E598,1,Fas 0/22
ADIRA-ACC-02,SEP0057D2D0E484,1,Fas 0/3
ADIRA-ACC-02,SEP08CCA7F7F4DC,1,Fas 0/6
ADIRA-ACC-02,SEP08CCA7F7FA82,1,Fas 0/20
ADIRA-ACC-02,SEP0057D2D0E46D,1,Fas 0/1
ADIRA-ACC-02,SEP0057D2D0E44E,1,Fas 0/19
ADIRA-ACC-02,SEP0057D2D0E5A0,1,Fas 0/10
ADIRA-ACC-02,SEP0057D2D0E55D,1,Fas 0/8
ADIRA-ACC-02,SEP08CCA7F7F5C0,1,Fas 0/11
ADIRA-ACC-02,ADIRA-CORE,1,Gig 0/2
ADIRA-ACC-02,ADIRA-CORE,1,Gig 0/1
ADIRA-ACC-02,SEP0057D2D0E49D,1,Fas 0/9
ADIRA-ACC-02,SEP0057D2D0E48B,1,Fas 0/2
ADIRA-ACC-02,SEP0057D2D0E4B8,1,Fas 0/23
ADIRA-ACC-02,SEP0057D2D0E49A,1,Fas 0/21
ADIRA-ACC-PI-01,ADIRA-PI-VG01.YOURDOMAIN.COM,1,Gig 0/2
ADIRA-ACC-PI-01,SEP0057D2D0E4CF,1,Fas 0/2
ADIRA-ACC-PI-01,SEP0057D2D0E530,1,Fas 0/4
ADIRA-ACC-PI-01,SEP0057D2D0E585,1,Fas 0/3
ADIRA-ACC-PI-01,SEP0057D2D0E4F5,1,Fas 0/6
ADIRA-ACC-PI-01,SEP0057D2D0E45F,1,Fas 0/5
ADIRA-CORE,ADIRA-MTH-VG01.ADIS-HO,1,Gig 1/0/1
ADIRA-CORE,ADIRA-MTH-VG01.ADIS-HO,1,Gig 2/0/1
ADIRA-CORE,ADIRA-ACC-02,1,Gig 2/0/3
ADIRA-CORE,ADIRA-ACC-02,1,Gig 1/0/3
ADIRA-CORE,ADIRA-ACC-03,1,Gig 1/0/5
ADIRA-CORE,ADIRA-ACC-03,1,Gig 2/0/5
ADIRA-CORE,ADIRA-ACC-01,1,Gig 1/0/4
ADIRA-CORE,ADIRA-ACC-01,1,Gig 2/0/4
ADIRA-CORE,ADIRA-SPM-RTR2.ADIS-HO,1,Gig 1/0/2
ADIRA-CORE,ADIRA-SPM-RTR2.ADIS-HO,1,Gig 2/0/2
ADIRA-MTH-VG01,ADIRA-CORE,1,Gig 0/0/1
ADIRA-MTH-VG01,ADIRA-CORE,1,Gig 0/0/0
ADIRA-MTH-VG01,TKN-CC-ROUTER,1,Gig 0/2/0
ADIRA-PI-VG01,ADIRA-ACC-PI-01,1,Gig 0/2
ADIRA-SPM-RTR2,ADIRA-CORE,1,Gig 0/0/0
ADIRA-SPM-RTR2,ADIRA-CORE,1,Gig 0/0/1
R4331-DRC,SW-CUSC-BSD,1,Gig 0/1/0
R4331-DRC,PKTDRCSC32S.LINTASARTA.CO.ID,1,Gig 0/1/3
TKN-CC-ROUTER,ADIRA-MTH-VG01.ADIS-HO,1,Gig 0/1
TKN-CC-ROUTER,SW-CONTACTCENTER-TBS,1,Fas 0/1/0
